time,site_cell_LacI,site_cell_LacI-SD,site_cell_CI,site_cell_CI-SD,site_cell_TetR,site_cell_TetR-SD,site_cell_LacI_site_cell_LacI,site_cell_LacI_site_cell_LacI-SD,site_cell_operon1_rna,site_cell_operon1_rna-SD,site_cell_operon_2_rna,site_cell_operon_2_rna-SD,site_cell_operon_3_rna,site_cell_operon_3_rna-SD
500,218.4,56.4916,535.6,113.379,415.4,120.54,0,0,5.8,0.83666,2.8,0.83666,7.4,1.67332
1000,522,210.349,686,341.266,385.2,194.92,0,0,5.6,3.36155,7.6,2.60768,9,4.47214
1500,621,104.484,816.4,299.248,523.6,148.465,0,0,6.6,2.30217,8,2,11.6,3.43511
2000,710,242.391,925.6,36.0458,768.4,165.118,0,0,10.2,2.48998,9.4,3.36155,12.2,0.447214
2500,763.6,269.163,811.8,122.641,613.2,171.233,0,0,8.4,1.94936,10.2,3.27109,10.8,1.30384
3000,680.2,248.269,785,173.302,676.6,380.311,0,0,9.2,5.06952,9,2.91548,9.8,2.58844
3500,820.6,322.463,789,180.011,662.4,134.641,0,0,8.8,2.77489,11.4,5.12835,11,2.54951
4000,807.8,278.604,846.8,295.278,542.8,190.74,0,0,6.8,2.77489,11,3.937,11.2,4.08656
4500,726.4,298.865,592,250.971,840.6,190.207,0,0,11.8,2.48998,9.8,4.08656,7.6,3.64692
5000,709.8,310.075,687.2,60.8498,797.8,125.878,0,0,10.4,2.70185,8.6,4.3359,8.4,1.14018
5500,686.8,309.082,703,116.976,602.6,242.324,0,0,8,3.39116,9,3.937,9,2.12132
6000,618.6,257.255,685.8,383.816,594.8,152.183,0,0,7.6,2.19089,8.2,3.42053,9.6,4.82701
6500,921.2,130.322,848.2,224.218,848.2,187.963,0,0,11.6,2.50998,12.6,1.51658,11.4,2.70185
7000,818.6,163.208,659.8,190.556,787.6,292.416,0,0,10,4.30116,11,2.34521,8.4,3.20936
7500,635.8,109.712,698.2,159.544,779.6,350.66,0,0,10.6,4.50555,8.8,2.58844,9.2,2.58844
8000,789.8,235.976,786.2,132.407,774.2,209.775,0,0,10.2,2.16795,10.6,4.03733,10.2,2.58844
8500,728.2,190.579,799.6,140.033,722,305.741,0,0,9.4,4.9295,9.8,2.77489,10.6,2.30217
9000,736,206.183,850.8,237.325,699.2,312.869,0,0,9,4.89898,8.8,2.28035,11.6,3.20936
9500,631.8,203.478,696.4,215.304,648,239.09,0,0,8.4,2.70185,8,2.82843,9.4,2.50998
10000,723.8,257.827,608,245.791,801,222.976,0,0,11,2.54951,9.6,2.96648,8.8,3.70135
10500,698.6,137.039,797.2,250.062,728,107.072,0,0,9.2,1.09545,9.2,1.78885,10,3.74166
11000,762.8,150.385,697.4,230.639,848.4,175.037,0,0,11,2.44949,9.8,1.78885,8.8,3.11448
11500,723.8,172.785,627.4,182.292,724.2,120.371,0,0,10,1.87083,10,2.82843,8.2,1.48324
12000,910.2,394.52,600.6,123.963,743.4,299.464,0,0,9.2,3.27109,11.2,4.96991,7.6,1.81659
12500,844,343.929,548.4,229.389,844.6,327.991,0.2,0.447214,11,4.1833,10.6,4.97996,7.4,2.30217
13000,680.4,149.071,625.6,211.76,637.2,97.5356,0.2,0.447214,7.8,1.09545,9.6,2.50998,8.8,2.28035
13500,820,185.926,633.6,270.145,470.8,83.9148,0.2,0.447214,6.4,0.547723,11,2.91548,8.8,4.14729
14000,792,329.854,643.8,115.623,752.6,175.634,0.2,0.447214,10.8,2.28035,10.4,4.39318,8.4,2.30217
14500,764.2,271.087,773.4,273.032,868.8,325.958,0.2,0.447214,11.2,3.42053,10.4,4.09878,10,3.16228
15000,844.4,255.332,768.2,131.735,805.2,213.112,0.2,0.447214,10.4,2.19089,12,3.74166,9.6,1.94936
15500,829.2,196.813,719.6,160.085,878,240.852,0.2,0.447214,12,3.39116,10.6,2.60768,10,1.87083
16000,674,112.838,735.6,186.414,802.6,159.934,0.2,0.447214,9.8,1.92354,8.8,1.92354,10,2.91548
16500,735.6,298.942,836.8,337.592,681.2,254.324,0.2,0.447214,8.4,4.03733,10.4,4.5607,11,4.3589
17000,712.4,207.442,870.6,455.944,843.2,420.425,0.2,0.447214,11.8,6.18061,9.6,2.30217,11.4,6.50385
17500,645.6,153.425,867,300.45,735.4,351.492,0.2,0.447214,9.6,4.15933,8.8,2.28035,11.2,3.03315
18000,635.6,120.678,672.2,163.776,620,203.16,0.2,0.447214,8.8,3.03315,9,2.12132,9.4,2.96648
18500,714.8,288.255,665.2,109.214,788,200.25,0.2,0.447214,10.2,2.28035,10,3.60555,8.8,1.30384
19000,764,173.47,763.2,82.0347,886.8,241.18,0.2,0.447214,11.4,2.30217,9.6,1.94936,10,1.41421
19500,700,202.738,632.8,112.604,859.8,228.532,0.2,0.447214,11,3.31662,9.2,3.11448,8.2,1.78885
20000,902.2,250.794,644.6,116.113,704.8,85.3944,0.2,0.447214,9,1.41421,11.6,3.20936,8.4,2.07364
20500,875.6,372.923,661.4,243.193,730.4,140.265,0.2,0.447214,10,2.91548,11.6,4.15933,8,3.08221
21000,962.2,265.777,669,185.757,809.4,384.466,0.2,0.447214,11.2,4.76445,13.4,2.96648,8.2,1.92354
21500,853.4,304.937,694.6,310.663,913,249.792,0.2,0.447214,12,2.54951,11.6,3.57771,9,4.1833
22000,809.8,167.966,779.2,184.911,951.4,132.349,0.2,0.447214,12,1.87083,10.4,2.07364,10,2.23607
22500,771,136.29,567.8,118.117,850.2,307.588,0.2,0.447214,11.2,4.32435,10.8,1.64317,7.4,2.07364
23000,806.2,210.397,549.2,95.4081,727.4,201.917,0.2,0.447214,9.8,2.38747,10.8,2.77489,7.8,1.48324
23500,879.8,409.353,658,176.597,883.8,176.208,0.2,0.447214,11.2,2.38747,11.6,6.50385,8.6,2.70185
24000,708.8,418.034,713,215.107,744.6,174.447,0.2,0.447214,10.2,2.77489,9.2,4.96991,9,2.82843
24500,631.2,161.16,817.8,127.668,621.8,237.121,0.2,0.447214,8.2,3.49285,8.2,1.78885,10.4,1.51658
25000,740.8,217.772,847.4,197.991,646,209.591,0.2,0.447214,8.6,3.36155,9,3.39116,10.8,1.78885
25500,505.8,197.4,694.6,121.508,687.4,287.463,0.2,0.447214,8.4,3.84708,6.6,2.88097,8.8,1.78885
26000,616.6,402.53,706.2,201.932,666.4,214.989,0.2,0.447214,8.4,2.70185,7.8,5.80517,8.8,3.11448
